车型,官方指导价,厂商,级别,能源类型,上市时间,发动机,纯电续航里程(km),充电时间(小时),快充电量(%),最大功率(kW),发动机最大扭矩(N·m),电动机最大扭矩(N·m),变速箱,长x宽x高(mm),车身结构,最高车速(km/h),官方百公里加速时间(s),NEDC综合油耗(L/100km),WLTC综合油耗(L/100km),百公里耗电量(kWh/100km),整车保修期限,6万公里保养总成本预估,宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),最小离地间隙(mm),车门数(个),车门开启方式,座位数(个),整备质量(kg),最大载重质量(kg),满载质量(kg),油箱容积(L),行李舱容积(L),风阻系数(Cd),排量(mL),排量(L),进气形式,气缸排列形式,气缸数(个),每缸气门数(个),压缩比,配气机构,最大马力(Ps),最大功率转速(rpm),最大扭矩(N·m),最大扭矩转速(rpm),发动机特有技术,燃料形式,燃油标号,供油方式,缸盖材料,缸体材料,环保标准,电机类型,电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),前电动机最大功率(kW),前电动机最大扭矩(N·m),后电动机最大功率(kW),后电动机最大扭矩(N·m),系统综合功率(kW),系统综合扭矩(N·m),驱动电机数,电机布局,电池组质保,电池容量(kWh),电池能量密度(Wh/kg),电池充电,电池温度管理系统,充电桩,挡位数,变速箱类型,四驱类型,中央差速器结构,前悬挂形式,后悬挂形式,转向类型,车体结构,后制动器类型,驻车制动类型
冒险家PHEV(海外) 2019款 基本型,-,林肯(进口),中型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
上喆V级 2021款 V260L 铂金马版,119.8万,上喆汽车,中型MPV,汽油,2021.03,2.0T 211马力 L4,,,,155,,,7挡手自一体,5370x1928x2085,MPV,185,null,9.5,,,3年或6万公里,null,1928,2085,3430,null,null,125,5,侧滑门,7,null,null,null,70,null,,1991,2,涡轮增压,L,4,4,null,DOHC,211,5500,350,1750-4000,null,汽油,95#,缸内直喷,铝,铝,国VI,,,,,,,,,,,,,,,,,,,7,手自一体变速箱(AT),null,null,麦弗逊式独立悬挂,半拖式独立悬挂,电动助力,承载式,实心盘式,电子驻车
江淮iC5 2020款 豪华出行版,14.99万,江淮汽车,紧凑型车,纯电动,2020.05,,450,"快充0.7小时
慢充8小时",80,142(193Ps),,,电动车单速变速箱,4770x1820x1510,掀背车,142,7.6,,,13.7,3年或12万公里,null,1820,1510,2760,1555,1550,130,5,平开门,5,1670,null,2045,,540-1650,null,,,,,,,,,,,340,,,,,,,,,永磁/同步,142,193,340,142,340,null,null,null,null,单电机,前置,8年或15万公里,54.8,null,"快充0.75小时
慢充9小时|快充0.7小时
慢充8小时|快充接口",低温加热|液态冷却,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
奥迪A7L 2022款 45 TFSI S-line 筑梦青春版,44.97万,上汽奥迪,中大型车,汽油,2022.05,2.0T 245马力 L4,,,,180,370,null,7挡双离合,5076x1908x1429,三厢车,208,7.9,7.4,,,3年或10万公里,null,1908,1429,3026,null,null,null,4,平开门,5,1855,null,2335,73,384,null,1984,2,涡轮增压,L,4,4,null,DOHC,245,5000-6500,370,1600-4300,null,汽油,95#,缸内直喷,铝,铁,国VI,,,,,,,,,,,,,,,,,,,7,湿式双离合变速箱（DCT）,null,null,多连杆式独立悬挂,多连杆式独立悬挂,电动助力,承载式,通风盘式,电子驻车
宝马i7 2022款 xDrive 60L,-,宝马(进口),大型车,null,null,null,null,-,null,null,,,null,null,三厢车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
途乐Y61 2018款 4.8L 自动长轴版,-,日产(进口),大型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
起亚K3 EV 2021款 舒适版 410km,22.98万,东风悦达起亚,紧凑型车,纯电动,2021.06,,410,-,null,135(184Ps),,,电动车单速变速箱,4660x1780x1456,三厢车,165,null,,,12.9,3年或10万公里,null,1780,1456,2700,1549,1558,null,4,平开门,5,1570,null,2040,,null,null,,,,,,,,,,,310,,,,,,,,,永磁/同步,135,184,310,135,310,null,null,null,null,单电机,前置,8年或15万公里,48.6,null,快充接口,低温加热,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,实心盘式,电子驻车
小海狮 EV 2022款 标准型,12.88万,华晨鑫源新能源,微面,纯电动,2021.1,,305,-,null,60(82Ps),,,电动车单速变速箱,4200x1680x1930,客车,null,null,,,null,待查,null,1680,1930,2700,null,null,null,5,侧滑门,5,1320,null,1960,,null,,,,,,,,,,,,null,,,,,,,,,永磁/同步,60,82,null,null,null,null,null,null,null,单电机,后置,待查,38.64,null,快充接口,低温加热|液态冷却,null,1,固定齿比变速箱,null,null,整体桥式非独立悬挂,整体桥式非独立悬挂,电动助力,承载式,鼓式,手刹
好运2号 2019款 标准型,11.68万,华晨鑫源新能源,微面,纯电动,2019.11,,255,-,null,60(81Ps),,,电动车单速变速箱,4200x1680x1930,货车,null,null,,,null,待查,null,1680,1930,2700,1425,1435,null,5,侧滑门,2,1300,null,null,,null,,,,,,,,,,,,220,,,,,,,,,永磁/同步,60,81,220,null,null,60,220,null,null,单电机,后置,待查,32.25,null,null,null,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,整体桥式非独立悬挂,电动助力,承载式,鼓式,手刹
天逸 C5 AIRCROSS PHEV 2020款 1.6T 四驱插混悦享型,23.47万,东风雪铁龙,紧凑型SUV,插电式混合动力,2020.07,1.6T 200马力 L4 插电式混动,58,-,null,147,,,8挡手自一体,4510x1860x1705,SUV,220,7,1.7,,15.7,3年或12万公里,7188.0元,1860,1705,2730,1587,1621,null,5,平开门,5,1889,null,2302,43,461,null,1598,1.6,涡轮增压,L,4,4,null,DOHC,200,6000,300,3000-4500,CVVT,插电式混合动力,92#,缸内直喷,铝,铝,国VI,永磁/同步,164,223,486,81,320,83,166,221,520,双电机,前置+后置,8年或15万公里,12.96,null,null,null,选配,8,手自一体变速箱(AT),电动四驱,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
上汽大通MAXUS EUNIQ 6 PLUG IN 2021款 1.3T LITE乐享版,15.98万,上汽大通,中型SUV,插电式混合动力,2021.05,1.3T 163马力 L3 插电式混动,62,慢充3.5小时,null,120,230,155,10挡机械变速箱,4720x1860x1736,SUV,180,null,1.5,,17.8,3年或8万公里,null,1860,1736,2760,1570,1580,160,5,平开门,5,null,null,null,null,null,null,1349,1.3,涡轮增压,L,3,4,null,null,163,null,230,null,null,插电式混合动力,92#,多点电喷,铝,铝,国VI,永磁/同步,60,81,155,60,155,null,null,null,null,单电机,前置,首任车主不限年限不限公里,13,null,慢充3.5小时,null,null,10,机械式自动变速箱(AMT),null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
ABT S6 2020款 Avant,-,ABT,中大型车,null,null,null,,,,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
长安CS15 E-Pro 2020款 劲擎版,10.69万,长安汽车,小型SUV,纯电动,2019.12,,401,"快充0.5小时
慢充8.7小时",80,120(163Ps),,,电动车单速变速箱,4135x1740x1630,SUV,101,9.9,,,null,3年或12万公里,null,1740,1630,2520,1470,1470,null,5,平开门,5,1530,null,1905,,null,null,,,,,,,,,,,245,,,,,,,,,永磁/同步,120,163,245,120,245,null,null,null,null,单电机,前置,8年或12万公里,48.3,null,"-|快充0.5小时
慢充8.7小时|快充接口",低温加热,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,实心盘式,手刹
荣威Vision-iM 2019款 Concept,-,上汽集团,中型MPV,null,null,null,null,-,null,null,,,null,null,MPV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
宝骏RS-7 2021款 1.5T CVT 智能精英型 6座,-,上汽通用五菱,中大型SUV,汽油,null,1.5T 177马力 L4,,,,130,,,CVT无级变速(模拟8挡),4930x1975x1775,SUV,null,null,null,,,3年或10万公里,null,1975,1775,2900,1606,1606,null,5,平开门,6,1772,null,null,60,null,null,1498,1.5,涡轮增压,L,4,4,null,DOHC,177,5300,290,1500-3500,DVVT,汽油,92#,缸内直喷,铝,铁,国VI b,,,,,,,,,,,,,,,,,,,无级变速,无级变速箱(CVT),null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
传祺GS4 Coupe 2020款 270T 自动智联科技版,13.68万,广汽乘用车,紧凑型SUV,汽油,2020.05,1.5T 169马力 L4,,,,124,,,7挡双离合,4577x1873x1646,SUV,185,null,6.9,,,3年或10万公里,10533.0元,1873,1646,2680,1588,1591,null,5,平开门,5,1540,null,1955,55,310-1100,0.295,1495,1.5,涡轮增压,L,4,4,null,DOHC,169,5000,265,1700-4000,DCVVT，GCCS,汽油,92#,缸内直喷,铝,铁,国VI,,,,,,,,,,,,,,,,,,,7,湿式双离合变速箱（DCT）,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
雷克萨斯UX EV 2020款 300e 纯·悦,36.2万,雷克萨斯,紧凑型SUV,纯电动,2020.04,,400,"快充0.83小时
慢充6.5小时",75,150(204Ps),,,电动车单速变速箱,4495x1840x1545,SUV,160,7.5,,,13.1,6年或15万公里,null,1840,1545,2640,1557,1559,null,5,平开门,5,1800,null,2250,,316,0.31,,,,,,,,,,,300,,,,,,,,,永磁/同步,150,204,300,150,300,null,null,null,null,单电机,前置,8年或20万公里,54.35,null,"快充0.83小时
慢充6.5小时|快充接口",null,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,通风盘式,电子驻车
Shuttle 2020款 Hybrid,-,本田(进口),小型车,null,null,null,,,,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
奔腾E01 2020款 引力波型,19.68万,一汽奔腾,中型SUV,纯电动,2020.09,,450,"快充0.5小时
慢充9.5小时",80,140(190Ps),,,电动车单速变速箱,4639x1880x1640,SUV,170,9,,,14.5,整车终身质保（具体责任免除条款以官方为准）,null,1880,1640,2810,1615,1615,null,5,平开门,5,1810,null,2230,,null,null,,,,,,,,,,,320,,,,,,,,,永磁/同步,140,190,320,140,320,null,null,null,null,单电机,前置,8年或15万公里,61.34,null,"快充接口|快充0.5小时
慢充9.5小时",低温加热,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
启辰星 2021款 260T 自动星尚版,12.66万,东风日产启辰,紧凑型SUV,汽油,2021.07,1.5T 190马力 L4,,,,140,260,null,7挡双离合,4691x1905x1694,SUV,190,9.9,6.7,,,3年或10万公里,4268.0元,1905,1694,2756,1633,1630,192,5,平开门,5,1539,null,2000,60,700-2056,null,1480,1.5,涡轮增压,L,4,4,null,DOHC,190,5500,260,1500-4500,null,汽油,92#,缸内直喷,铝,铝,国VI b,,,,,,,,,,,,,,,,,,,7,干式双离合变速箱（DCT）,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
星歌 2020款 基本型,-,野马新能源,小型车,null,null,null,null,-,null,null,,,null,null,三厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
探险者 2022款 EcoBoost 285 三十周年纪念版 6座,33.98万,长安福特,中大型SUV,汽油,2022.03,2.3T 276马力 L4,,,,203,,,10挡手自一体,5075x2004x1778,SUV,200,7.8,8.9,,,3年或10万公里,null,2004,1778,3025,1703,1705,150,5,平开门,6,2056,null,2541,73,null,null,2261,2.3,涡轮增压,L,4,4,10,DOHC,276,6000,425,3500,null,汽油,92#,缸内直喷,铝,铝,国VI,,,,,,,,,,,,,,,,,,,10,手自一体变速箱(AT),适时四驱,多片离合器式中央差速器,连杆支柱式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
标致e-2008 2020款 锋尚版,16.6万,东风标致,小型SUV,纯电动,2020.05,,360,"快充0.5小时
慢充8小时",80,120(163Ps),,,电动车单速变速箱,4312x1785x1545,SUV,150,null,,,14.5,3年或10万公里,null,1785,1545,2612,1549,1547,null,5,平开门,5,1570,null,2005,,345,null,,,,,,,,,,,260,,,,,,,,,永磁/同步,120,163,260,120,260,null,null,null,null,单电机,前置,8年或15万公里,45.24,null,"快充0.5小时
慢充8小时|快充接口",低温加热,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,实心盘式,电子驻车
迈凯伦Elva 2019款 4.0T 基本型,-,迈凯伦,跑车,null,null,null,,,,null,,,null,null,软顶敞篷车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
法拉利Roma 2020款 3.9T V8,241.8万,法拉利,跑车,汽油,2020.04,3.9T 620马力 V8,,,,456,,,8挡双离合,4656x1974x1301,硬顶跑车,320,3.4,,,,3年不限公里,null,1974,1301,2670,1562,1679,null,2,null,4,1570,null,null,80,272,null,3855,3.9,双涡轮增压,V,8,4,9.45,DOHC,620,5750-7500,760,3000-5750,null,汽油,98#,缸内直喷,铝,铝,国VI,,,,,,,,,,,,,,,,,,,8,湿式双离合变速箱（DCT）,null,null,双叉臂式独立悬挂,多连杆式独立悬挂,电子液压助力,承载式,陶瓷通风盘式,电子驻车
零跑T03 2022款 玛瑙版,7.39万,零跑汽车,微型车,纯电动,2022.03,,301,"快充0.6小时
慢充2.75小时",80,55(75Ps),,,电动车单速变速箱,3620x1652x1592,两厢车,100,14.5,,,11.1,3年或12万公里,null,1652,1592,2400,1410,1410,140,5,平开门,4,1190,null,1490,,210-508,null,,,,,,,,,,,155,,,,,,,,,永磁/同步,55,75,155,55,155,null,null,null,null,单电机,前置,8年或15万公里,31.9,null,"快充0.6小时
慢充3.5小时|快充0.6小时
慢充2.75小时|快充接口",低温加热,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,实心盘式,电子驻车
Aspark Owl 2020款 基本型,-,Aspark,跑车,null,null,null,null,-,null,null,,,null,null,硬顶跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Mustang Mach-E(海外) 2022款 Ice White Edition,-,福特(进口),中型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
ABT SQ8 2020款 基本型,-,ABT,大型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Dendrobium 2017款 基本型,-,Vanda Electric,跑车,null,null,null,null,-,null,null,,,null,null,三厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Karma SC2 2020款 Coupe Concept,-,Karma,跑车,null,null,null,null,-,null,null,,,null,null,三厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
T-ONE 2019款 TRUCK,-,Neuron EV,中型皮卡,null,null,null,null,-,null,null,,,null,null,一排,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
TOROIDION 1MW 2015款 基本型,-,TOROIDION,跑车,null,null,null,null,-,null,null,,,null,null,硬顶跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
SIN R1 2016款 基本型,-,SIN CARS,跑车,null,null,null,,,,null,,,null,null,三厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
RXC Turbo 2016款 基本型,-,Radical,跑车,null,null,null,,,,null,,,null,null,硬顶跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Share2Drive SVEN 2019款 基本型,-,Share2Drive,微型车,null,null,null,null,-,null,null,,,null,null,两厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
欧联M1 2015款 基本型,-,广马汽车,微型车,null,null,null,null,-,null,null,,,null,null,两厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
敏安MX-6 2019款 基本型,-,敏安汽车,中型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Design-X1 2018款 基本型,-,Jannarelly,跑车,null,null,null,null,-,null,null,,,null,null,软顶敞篷车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
ID.4 X 2022款 纯净智享版,18.9288万,上汽大众,紧凑型SUV,纯电动,2022.06,,425,"快充0.67小时
慢充8.5小时",80,125(170Ps),,,电动车单速变速箱,4612x1852x1640,SUV,160,null,,,14,3年或10万公里,null,1852,1640,2765,null,null,null,5,平开门,5,1960,null,null,,484-1546,null,,,,,,,,,,,310,,,,,,,,,永磁/同步,125,170,310,null,null,125,310,null,null,单电机,后置,8年或16万公里,57.3,null,"快充0.67小时
慢充8.5小时|快充接口|快充0.67小时
慢充12.5小时",低温加热|液态冷却,选配,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,鼓式,电子驻车
Drako GTE 2019款 基本型,-,Drako,中大型车,null,null,null,null,-,null,null,,,null,null,三厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
开利 2014款 基本型,-,一汽-大众,紧凑型车,null,null,null,null,-,null,null,,,null,null,三厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
ID. Space Vizzion 2020款 Concept,-,大众(进口),中型车,null,null,null,null,-,null,null,,,null,null,两厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Streetwise 2003款 基本型,-,罗孚汽车,小型车,null,null,null,,,,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Rover 75 2004款 2.5 自动 标准型,56.0万,罗孚汽车,中大型车,汽油,2004.01,2.5L 184马力 V6,,,,135,,,5挡自动,4865x1765x1422,三厢车,null,null,,,,null,null,1765,1422,2849,1507,1504,null,5,null,5,null,null,null,65,432,null,2497,2.5,自然吸气,V,6,4,null,null,184,6500,230,4000,null,汽油,95#,多点电喷,null,null,null,,,,,,,,,,,,,,,,,,,5,自动变速箱(AT),null,null,null,null,null,承载式,实心盘式,null
Rover 45 2005款 基本型,-,罗孚汽车,中型车,null,null,null,,,,null,,,null,null,三厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Rover 25 2005款 基本型,-,罗孚汽车,小型车,null,null,null,,,,null,,,null,null,三厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
KUV 100 2016款 基本型,-,Mahindra,小型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Mahindra Thar 2010款 基本型,-,Mahindra,紧凑型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Bolero 2001款 基本型,-,Mahindra,中型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Mustang EV 2019款  Lithium Concept,-,福特(进口),跑车,null,null,null,null,-,null,null,,,null,null,硬顶跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Scorpio 2002款 基本款,-,Mahindra,中型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Karlmann King 2018款 基本型,-,Karlmann,大型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
BSS GT One 2019款 基本型,-,Dianchè,跑车,null,null,null,null,-,null,null,,,null,null,硬顶跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
BSS GT Cube 2019款 基本型,-,Dianchè,跑车,null,null,null,null,-,null,null,,,null,null,硬顶跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
奥迪RS Q8 2022款 RS Q8 4.0T,146.88万,Audi Sport,中大型SUV,48V轻混系统,2021.12,4.0T 600马力 V8 48V轻混,,,,441,800,null,8挡手自一体,5012x2000x1696,SUV,250,3.8,11.7,,,3年或10万公里,null,2000,1696,2998,1692,1696,null,5,平开门,5,2435,null,2950,85,605-1755,null,3996,4,双涡轮增压,V,8,4,null,DOHC,600,6000-6250,800,2050-4500,null,48V轻混系统,98#,缸内直喷,铝,铝,国VI,,,,,,,,,,,,,,,,,,,8,手自一体变速箱(AT),全时四驱,冠状齿轮中央差速器,多连杆式独立悬挂,多连杆式独立悬挂,电动助力,承载式,通风盘式,电子驻车
E-10 Concept 2019款 基本型,-,雪佛兰(进口),中型皮卡,null,null,null,null,-,null,null,,,null,null,一排,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Tank 2020款 基本型,-,Rezvani,中大型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Fétish 2004款 基本型,-,Venturi,跑车,null,null,null,null,-,null,null,,,null,null,硬顶敞篷车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
宝马X1 PHEV(海外) 2020款 xDrive25e,-,宝马(进口),紧凑型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
